,NIST 800-53 Security Controls Catalog Revision 5,,,FedRAMP® Moderate Baseline,,,,
SORT ID,Family,ID,Control Name,"NIST Control Description
 (From NIST SP 800-53r5 12/10/2020)","NIST Discussion
 (From NIST SP 800-53r5 12/10/2020)","M FedRAMP-Defined Assignment / Selection Parameters 
 (Numbering matches SSP)",M Additional FedRAMP Requirements and Guidance,"FedRAMP
Parameter"
AC-01,ACCESS CONTROL,AC-1,Policy and Procedures,"a. Develop, document, and disseminate to [Assignment: organization-defined personnel or roles]:
 1. [Selection (one or more): Organization-level; Mission/business process-level; System-level] access control policy that:
 (a) Addresses purpose, scope, roles, responsibilities, management commitment, coordination among organizational entities, and compliance; and
 (b) Is consistent with applicable laws, executive orders, directives, regulations, policies, standards, and guidelines; and
 2. Procedures to facilitate the implementation of the access control policy and the associated access controls;
 b. Designate an [Assignment: organization-defined official] to manage the development, documentation, and dissemination of the access control policy and procedures; and
 c. Review and update the current access control:
 1. Policy [Assignment: organization-defined frequency] and following [Assignment: organization-defined events]; and
 2. Procedures [Assignment: organization-defined frequency] and following [Assignment: organization-defined events].","Access control policy and procedures address the controls in the AC family that are implemented within systems and organizations. The risk management strategy is an important factor in establishing such policies and procedures. Policies and procedures contribute to security and privacy assurance. Therefore, it is important that security and privacy programs collaborate on the development of access control policy and procedures. Security and privacy program policies and procedures at the organization level are preferable, in general, and may obviate the need for mission- or system-specific policies and procedures. The policy can be included as part of the general security and privacy policy or be represented by multiple policies reflecting the complex nature of organizations. Procedures can be established for security and privacy programs, for mission or business processes, and for systems, if needed. Procedures describe how the policies or controls are implemented and can be directed at the individual or role that is the object of the procedure. Procedures can be documented in system security and privacy plans or in one or more separate documents. Events that may precipitate an update to access control policy and procedures include assessment or audit findings, security incidents or breaches, or changes in laws, executive orders, directives, regulations, policies, standards, and guidelines. Simply restating controls does not constitute an organizational policy or procedure.","AC-1 (c) (1) [at least every 3 years] 
AC-1 (c) (2) [at least annually] [significant changes]", ,X
AC-02,ACCESS CONTROL,AC-2,Account Management,"a. Define and document the types of accounts allowed and specifically prohibited for use within the system;
 b. Assign account managers;
 c. Require [Assignment: organization-defined prerequisites and criteria] for group and role membership;
 d. Specify:
 1. Authorized users of the system;
 2. Group and role membership; and
 3. Access authorizations (i.e., privileges) and [Assignment: organization-defined attributes (as required)] for each account;
 e. Require approvals by [Assignment: organization-defined personnel or roles] for requests to create accounts;
 f. Create, enable, modify, disable, and remove accounts in accordance with [Assignment: organization-defined policy, procedures, prerequisites, and criteria];
 g. Monitor the use of accounts;
 h. Notify account managers and [Assignment: organization-defined personnel or roles] within:
 1. [Assignment: organization-defined time period] when accounts are no longer required;
 2. [Assignment: organization-defined time period] when users are terminated or transferred; and
 3. [Assignment: organization-defined time period] when system usage or need-to-know changes for an individual;
 i. Authorize access to the system based on:
 1. A valid access authorization;
 2. Intended system usage; and
 3. [Assignment: organization-defined attributes (as required)];
 j. Review accounts for compliance with account management requirements [Assignment: organization-defined frequency];
 k. Establish and implement a process for changing shared or group account authenticators (if deployed) when individuals are removed from the group; and
 l. Align account management processes with personnel termination and transfer processes.","Examples of system account types include individual, shared, group, system, guest, anonymous, emergency, developer, temporary, and service. Identification of authorized system users and the specification of access privileges reflect the requirements in other controls in the security plan. Users requiring administrative privileges on system accounts receive additional scrutiny by organizational personnel responsible for approving such accounts and privileged access, including system owner, mission or business owner, senior agency information security officer, or senior agency official for privacy. Types of accounts that organizations may wish to prohibit due to increased risk include shared, group, emergency, anonymous, temporary, and guest accounts.
 Where access involves personally identifiable information, security programs collaborate with the senior agency official for privacy to establish the specific conditions for group and role membership; specify authorized users, group and role membership, and access authorizations for each account; and create, adjust, or remove system accounts in accordance with organizational policies. Policies can include such information as account expiration dates or other factors that trigger the disabling of accounts. Organizations may choose to define access privileges or other attributes by account, type of account, or a combination of the two. Examples of other attributes required for authorizing access include restrictions on time of day, day of week, and point of origin. In defining other system account attributes, organizations consider system-related requirements and mission/business requirements. Failure to consider these factors could affect system availability.
 Temporary and emergency accounts are intended for short-term use. Organizations establish temporary accounts as part of normal account activation procedures when there is a need for short-term accounts without the demand for immediacy in account activation. Organizations establish emergency accounts in response to crisis situations and with the need for rapid account activation. Therefore, emergency account activation may bypass normal account authorization processes. Emergency and temporary accounts are not to be confused with infrequently used accounts, including local logon accounts used for special tasks or when network resources are unavailable (may also be known as accounts of last resort). Such accounts remain available and are not subject to automatic disabling or removal dates. Conditions for disabling or deactivating accounts include when shared/group, emergency, or temporary accounts are no longer required and when individuals are transferred or terminated. Changing shared/group authenticators when members leave the group is intended to ensure that former group members do not retain access to the shared or group account. Some types of system accounts may require specialized training.","AC-2 (h) (1) [twenty-four (24) hours]
AC-2 (h) (2) [eight (8) hours]
AC-2 (h) (3) [eight (8) hours]
AC-2 (j) [quarterly for privileged access, annually for non-privileged access]", ,X
AC-02 (01),ACCESS CONTROL,AC-2 (1),Account Management | Automated System Account Management,Support the management of system accounts using [Assignment: organization-defined automated mechanisms].,"Automated system account management includes using automated mechanisms to create, enable, modify, disable, and remove accounts; notify account managers when an account is created, enabled, modified, disabled, or removed, or when users are terminated or transferred; monitor system account usage; and report atypical system account usage. Automated mechanisms can include internal system functions and email, telephonic, and text messaging notifications.",,,
AC-02 (02),ACCESS CONTROL,AC-2 (2),Account Management | Automated Temporary and Emergency Account Management,Automatically [Selection: remove; disable] temporary and emergency accounts after [Assignment: organization-defined time period for each type of account].,Management of temporary and emergency accounts includes the removal or disabling of such accounts automatically after a predefined time period rather than at the convenience of the system administrator. Automatic removal or disabling of accounts provides a more consistent implementation.,"AC-2 (2) [Selection: disables] 
[Assignment: no more than 96 hours from last use]", ,X
AC-02 (03),ACCESS CONTROL,AC-2 (3),Account Management | Disable Accounts,"Disable accounts within [Assignment: organization-defined time period] when the accounts: 
 (a) Have expired;
 (b) Are no longer associated with a user or individual;
 (c) Are in violation of organizational policy; or
 (d) Have been inactive for [Assignment: organization-defined time period].","Disabling expired, inactive, or otherwise anomalous accounts supports the concepts of least privilege and least functionality which reduce the attack surface of the system.","AC-2 (3) [24 hours for user accounts]
AC-2 (3) (d) [ninety (90) days] (See additional requirements and guidance.)","AC-2 (3) Requirement: The service provider defines the time period for non-user accounts (e.g., accounts associated with devices).  The time periods are approved and accepted by the JAB/AO. Where user management is a function of the service, reports of activity of consumer users shall be made available.
AC-2 (3) (d) Requirement: The service provider defines the time period of inactivity for device identifiers.
Guidance: For DoD clouds, see DoD cloud website for specific DoD requirements that go above and beyond FedRAMP https://public.cyber.mil/dccs/.
",X
AC-02 (04),ACCESS CONTROL,AC-2 (4),Account Management | Automated Audit Actions,"Automatically audit account creation, modification, enabling, disabling, and removal actions.","Account management audit records are defined in accordance with AU-2 and reviewed, analyzed, and reported in accordance with AU-6.",,,
AC-02 (05),ACCESS CONTROL,AC-2 (5),Account Management | Inactivity Logout,Require that users log out when [Assignment: organization-defined time period of expected inactivity or description of when to log out].,Inactivity logout is behavior- or policy-based and requires users to take physical action to log out when they are expecting inactivity longer than the defined period. Automatic enforcement of inactivity logout is addressed by AC-11.,"AC-2 (5) [for privileged users, it is the end of a user's standard work period]",AC-2 (5) Guidance: Should use a shorter timeframe than AC-12.,X
AC-02 (07),ACCESS CONTROL,AC-2 (7),Account Management | Privileged User Accounts," (a) Establish and administer privileged user accounts in accordance with [Selection: a role-based access scheme; an attribute-based access scheme];
 (b) Monitor privileged role or attribute assignments;
 (c) Monitor changes to roles or attributes; and
 (d) Revoke access when privileged role or attribute assignments are no longer appropriate.","Privileged roles are organization-defined roles assigned to individuals that allow those individuals to perform certain security-relevant functions that ordinary users are not authorized to perform. Privileged roles include key management, account management, database administration, system and network administration, and web administration. A role-based access scheme organizes permitted system access and privileges into roles. In contrast, an attribute-based access scheme specifies allowed system access and privileges based on attributes.",,,
AC-02 (09),ACCESS CONTROL,AC-2 (9),Account Management | Restrictions on Use of Shared and Group Accounts,Only permit the use of shared and group accounts that meet [Assignment: organization-defined conditions for establishing shared and group accounts].,"Before permitting the use of shared or group accounts, organizations consider the increased risk due to the lack of accountability with such accounts.",AC-2 (9) [organization-defined need with justification statement that explains why such accounts are necessary],"AC-2 (9) Requirement: Required if shared/group accounts are deployed
",X
